year,month,state,no_of_fires,date
1998,Jan,Acre,0,1/1/1998
1999,Jan,Acre,0,1/1/1999
2000,Jan,Acre,0,1/1/2000
2001,Jan,Acre,0,1/1/2001
2002,Jan,Acre,0,1/1/2002
2003,Jan,Acre,10,1/1/2003
2004,Jan,Acre,0,1/1/2004
2005,Jan,Acre,12,1/1/2005
2006,Jan,Acre,4,1/1/2006
2007,Jan,Acre,0,1/1/2007
2008,Jan,Acre,0,1/1/2008
2009,Jan,Acre,0,1/1/2009
2010,Jan,Acre,1,1/1/2010
2011,Jan,Acre,0,1/1/2011
2012,Jan,Acre,0,1/1/2012
2013,Jan,Acre,0,1/1/2013
2014,Jan,Acre,0,1/1/2014
2015,Jan,Acre,1,1/1/2015
2016,Jan,Acre,12,1/1/2016
2017,Jan,Acre,0,1/1/2017
1998,Feb,Acre,0,1/1/1998
1999,Feb,Acre,0,1/1/1999
2000,Feb,Acre,0,1/1/2000
2001,Feb,Acre,0,1/1/2001
2002,Feb,Acre,1,1/1/2002
2003,Feb,Acre,0,1/1/2003
2004,Feb,Acre,3,1/1/2004
2005,Feb,Acre,0,1/1/2005
2006,Feb,Acre,0,1/1/2006
2007,Feb,Acre,5,1/1/2007
2008,Feb,Acre,0,1/1/2008
2009,Feb,Acre,2,1/1/2009
2010,Feb,Acre,0,1/1/2010
2011,Feb,Acre,0,1/1/2011
2012,Feb,Acre,0,1/1/2012
2013,Feb,Acre,0,1/1/2013
2014,Feb,Acre,0,1/1/2014
2015,Feb,Acre,2,1/1/2015
2016,Feb,Acre,5,1/1/2016
2017,Feb,Acre,1,1/1/2017
1998,Mar,Acre,0,1/1/1998
1999,Mar,Acre,0,1/1/1999
2000,Mar,Acre,11,1/1/2000
2001,Mar,Acre,0,1/1/2001
2002,Mar,Acre,0,1/1/2002
2003,Mar,Acre,0,1/1/2003
2004,Mar,Acre,0,1/1/2004
2005,Mar,Acre,3,1/1/2005
2006,Mar,Acre,0,1/1/2006
2007,Mar,Acre,2,1/1/2007
2008,Mar,Acre,0,1/1/2008
2009,Mar,Acre,1,1/1/2009
2010,Mar,Acre,0,1/1/2010
2011,Mar,Acre,0,1/1/2011
2012,Mar,Acre,1,1/1/2012
2013,Mar,Acre,2,1/1/2013
2014,Mar,Acre,1,1/1/2014
2015,Mar,Acre,2,1/1/2015
2016,Mar,Acre,0,1/1/2016
2017,Mar,Acre,0,1/1/2017
1998,Apr,Acre,0,1/1/1998
1999,Apr,Acre,0,1/1/1999
2000,Apr,Acre,1,1/1/2000
2001,Apr,Acre,0,1/1/2001
2002,Apr,Acre,0,1/1/2002
2003,Apr,Acre,1,1/1/2003
2004,Apr,Acre,2,1/1/2004
2005,Apr,Acre,1,1/1/2005
2006,Apr,Acre,,1/1/2006
2007,Apr,Acre,0,1/1/2007
2008,Apr,Acre,0,1/1/2008
2009,Apr,Acre,0,1/1/2009
2010,Apr,Acre,3,1/1/2010
2011,Apr,Acre,2,1/1/2011
2012,Apr,Acre,1,1/1/2012
2013,Apr,Acre,19,1/1/2013
2014,Apr,Acre,7,1/1/2014
2015,Apr,Acre,3,1/1/2015
2016,Apr,Acre,0,1/1/2016
2017,Apr,Acre,1,1/1/2017
1998,May,Acre,0,1/1/1998
1999,May,Acre,0,1/1/1999
2000,May,Acre,1,1/1/2000
2001,May,Acre,0,1/1/2001
2002,May,Acre,0,1/1/2002
2003,May,Acre,6,1/1/2003
2004,May,Acre,7,1/1/2004
2005,May,Acre,2,1/1/2005
2006,May,Acre,8,1/1/2006
2007,May,Acre,1,1/1/2007
2008,May,Acre,0,1/1/2008
2009,May,Acre,3,1/1/2009
2010,May,Acre,9,1/1/2010
2011,May,Acre,3,1/1/2011
2012,May,Acre,3,1/1/2012
2013,May,Acre,4,1/1/2013
2014,May,Acre,1,1/1/2014
2015,May,Acre,2,1/1/2015
2016,May,Acre,21,1/1/2016
2017,May,Acre,10,1/1/2017
1998,Jun,Acre,3,1/1/1998
1999,Jun,Acre,0,1/1/1999
2000,Jun,Acre,1,1/1/2000
2001,Jun,Acre,1,1/1/2001
2002,Jun,Acre,0,1/1/2002
2003,Jun,Acre,0,1/1/2003
2004,Jun,Acre,5,1/1/2004
2005,Jun,Acre,27,1/1/2005
2006,Jun,Acre,1,1/1/2006
2007,Jun,Acre,4,1/1/2007
2008,Jun,Acre,,1/1/2008
2009,Jun,Acre,0,1/1/2009
2010,Jun,Acre,1,1/1/2010
2011,Jun,Acre,10,1/1/2011
2012,Jun,Acre,7,1/1/2012
2013,Jun,Acre,8,1/1/2013
2014,Jun,Acre,17,1/1/2014
2015,Jun,Acre,40,1/1/2015
2016,Jun,Acre,87,1/1/2016
2017,Jun,Acre,45,1/1/2017
1998,Jul,Acre,37,1/1/1998
1999,Jul,Acre,1,1/1/1999
2000,Jul,Acre,1,1/1/2000
2001,Jul,Acre,3,1/1/2001
2002,Jul,Acre,39,1/1/2002
2003,Jul,Acre,168,1/1/2003
2004,Jul,Acre,42,1/1/2004
2005,Jul,Acre,,1/1/2005
2006,Jul,Acre,33,1/1/2006
2007,Jul,Acre,29,1/1/2007
2008,Jul,Acre,41,1/1/2008
2009,Jul,Acre,31,1/1/2009
2010,Jul,Acre,126,1/1/2010
2011,Jul,Acre,93,1/1/2011
2012,Jul,Acre,71,1/1/2012
2013,Jul,Acre,54,1/1/2013
2014,Jul,Acre,60,1/1/2014
2015,Jul,Acre,109,1/1/2015
2016,Jul,Acre,533,1/1/2016
2017,Jul,Acre,457,1/1/2017
1998,Aug,Acre,130,1/1/1998
1999,Aug,Acre,63,1/1/1999
2000,Aug,Acre,136,1/1/2000
2001,Aug,Acre,396,1/1/2001
2002,Aug,Acre,728,1/1/2002
2003,Aug,Acre,1.976,1/1/2003
2004,Aug,Acre,645,1/1/2004
2005,Aug,Acre,4.198,1/1/2005
2006,Aug,Acre,839,1/1/2006
2007,Aug,Acre,960,1/1/2007
2008,Aug,Acre,445,1/1/2008
2009,Aug,Acre,194,1/1/2009
2010,Aug,Acre,1.682,1/1/2010
2011,Aug,Acre,425,1/1/2011
2012,Aug,Acre,739,1/1/2012
2013,Aug,Acre,679,1/1/2013
2014,Aug,Acre,1.1,1/1/2014
2015,Aug,Acre,1.397,1/1/2015
2016,Aug,Acre,2.188,1/1/2016
2017,Aug,Acre,1.493,1/1/2017
1998,Sep,Acre,509,1/1/1998
1999,Sep,Acre,209,1/1/1999
2000,Sep,Acre,265,1/1/2000
2001,Sep,Acre,290,1/1/2001
2002,Sep,Acre,1.949,1/1/2002
2003,Sep,Acre,3.942,1/1/2003
2004,Sep,Acre,1.978,1/1/2004
2005,Sep,Acre,4.253,1/1/2005
2006,Sep,Acre,2.37,1/1/2006
2007,Sep,Acre,2.08,1/1/2007
2008,Sep,Acre,1.666,1/1/2008
2009,Sep,Acre,1.265,1/1/2009
2010,Sep,Acre,2.531,1/1/2010
2011,Sep,Acre,1.204,1/1/2011
2012,Sep,Acre,1.996,1/1/2012
2013,Sep,Acre,2.136,1/1/2013
2014,Sep,Acre,2.175,1/1/2014
2015,Sep,Acre,2.928,1/1/2015
2016,Sep,Acre,3.586,1/1/2016
2017,Sep,Acre,3.429,1/1/2017
1998,Oct,Acre,44,1/1/1998
